quarter,BRCA-UK,CMDI-UK,BOCA-UK,PRAD-UK,ESAD-UK,BRCA-EU,PACA-CA
06/19/2014 - 11:53,0,100,100,100,0,100,50.4065040650407
06/19/2014 - 11:58,0,100,100,100,0,100,50.4065040650407
06/19/2014 - 13:08,0,100,100,100,0,100,50.4065040650407
06/19/2014 - 14:02,0,100,100,100,0,100,50.4065040650407
06/19/2014 - 16:02,0,100,100,100,0,100,50.4065040650407
06/20/2014 - 10:04,0,100,100,100,0,100,50.4065040650407
06/20/2014 - 10:08,0,100,100,100,0,100,50.4065040650407
06/20/2014 - 12:03,0,100,100,100,0,100,50.4065040650407
06/20/2014 - 13:20,0,100,100,100,0,100,50.4065040650407
06/20/2014 - 14:04,0,100,100,100,0,100,50.4065040650407
