quarter,BTCA-SG,LIRI-JP,ORCA-IN
Thur Jun 19 '14 - 13:08,83.3333333333333,43.2637571157495,0
Fri Jun 20 '14 - 12:03,83.3333333333333,43.2637571157495,0
Mon Jun 23 '14 - 12:04,55,37.8737541528239,0
Tue Jun 24 '14 - 15:45,60,37.8737541528239,0
Thu Jun 26 '14 - 19:52,60.000,40.630,0
Fri Jun 27 '14 - 14:06,60.000,45.515,0
Fri Jun 27 '14 - 18:51,60.000,46.346,0
Sat Jun 28 '14 - 12:42,60.000,47.176,0
Sun Jun 29 '14 - 12:42,60.000,50.332,0
Mon Jun 30 '14 - 12:42,60.000,55.348,0
Tue Jul 01 '14 - 12:42,60.000,56.027,0
Wed Jul 02 '14 - 12:42,60.000,57.046,0
Thu Jul 03 '14 - 12:42,60.000,58.744,0
Fri Jul 04 '14 - 12:42,60.000,61.630,0
Sat Jul 05 '14 - 12:41,60.000,64.177,0
Sun Jul 06 '14 - 12:41,60.000,65.195,0
Mon Jul 07 '14 - 12:42,60.000,68.421,0
Tue Jul 08 '14 - 12:42,60.000,69.100,42.307
