quarter,BTCA-SG,LIRI-JP,ORCA-IN
Thur Jun 19 '14 - 13:08,10,228,0
Fri Jun 20 '14 - 12:03,10,228,0
Mon Jun 23 '14 - 12:04,11,228,0
Tue Jun 24 '14 - 15:45,12,228,0
Thu Jun 26 '14 - 19:52,12.000,245.000,0
Fri Jun 27 '14 - 14:06,12.000,274.000,0
Fri Jun 27 '14 - 18:51,12.000,279.000,0
Sat Jun 28 '14 - 12:42,12.000,284.000,0
Sun Jun 29 '14 - 12:42,12.000,303.000,0
Mon Jun 30 '14 - 12:42,12.000,326.000,0
Tue Jul 01 '14 - 12:42,12.000,330.000,0
Wed Jul 02 '14 - 12:42,12.000,336.000,0
Thu Jul 03 '14 - 12:42,12.000,346.000,0
Fri Jul 04 '14 - 12:42,12.000,363.000,0
Sat Jul 05 '14 - 12:41,12.000,378.000,0
Sun Jul 06 '14 - 12:41,12.000,384.000,0
Mon Jul 07 '14 - 12:42,12.000,403.000,0
Tue Jul 08 '14 - 12:42,12.000,407.000,11
