quarter,Heidelberg,Cambridge,Toronto,Barcelona,Singapore,Tokyo,Hinxton,Seoul
Tue 03 Jun '14 - 12:01,71,0,50,62,75,30,0,0
Wed 04 Jun '14 - 12:02,10,0.00,50,62,75,32,0.00,0
Thur 05 Jun '14 - 12:01,24,0.00,50,68,75,33,0.00,0
Fri 06 Jun '14 - 12:02,38,0.00,50,76,75,34,0.00,0
Mon 09 Jun '14 - 12:40,44,0.00,50,76,88,37,0.00,0
Tue 10 Jun '14 - 12:03,47,0.00,50,77,88,39,0.00,0
Wed 11 Jun '14 - 12:02,58,0.00,50,77,88,40,0.00,0
Thur 12 Jun '14 - 12:02,67,0.00,50,86,100.00,41,0.00,0
Fri 13 Jun '14 - 12:03,77,0.00,50,88,80,42,0.00,0
Mon 16 Jun '14 - 12:40,82,0.00,50,97,90,43,0.00,100.00
Tue 17 Jun '14 - 12:03,96,33.333,50,97,100.00,43,69,100.00
Wed 18 Jun '14 - 12:03,100.00,33.333,50,97,83,43,85,100.00
Thur 19 Jun '14 - 12:05,99.592,33.333,50.407,97.500,83.333,43.264,84.615,100.000
Fri 20 Jun '14 - 12:40,99.592,33.333,50.407,97.500,83.333,43.264,84.615,100.000
Mon 23 Jun '14 - 12:40,77.955,3.797,13.025,66.781,55.000,37.874,42.308,100.000,106.180,35.484,100.000,5.250
Tue 24 Jun '14 - 12:40,86.528,3.797,13.025,66.781,60.000,37.874,42.308,100.000,99.602,58.871,100.000,5.250
Tue Jun 24 '14 - 15:45,86.528,3.797,13.025,66.781,60.000,37.874,42.308,100.000,99.602,58.871,100.000,5.250
