quarter,Heidelberg,Cambridge,Toronto,Barcelona,Singapore,Tokyo,Hinxton,Seoul
06/03/2014 - 10:01,347,0,62,124,4,162,0,0
06/03/2014 - 12:01,348,0,62,124,6,162,0,0
06/03/2014 - 14:01,348,0,62,124,6,162,0,0
06/03/2014 - 16:01,349,0,62,124,6,162,0,0
06/04/2014 - 08:59,42.00,0.00,62.00,124.00,6.00,164.00,0.00,0
06/04/2014 - 10:01,45.00,0.00,62.00,124.00,6.00,165.00,0.00,0
06/04/2014 - 12:02,49.00,0.00,62.00,124.00,6.00,167.00,0.00,0
06/04/2014 - 14:02,56.00,0.00,62.00,124.00,6.00,167.00,0.00,0
06/04/2014 - 16:01,60.00,0.00,62.00,124.00,6.00,167.00,0.00,0
06/05/2014 - 10:02,111.00,0.00,62.00,132.00,6.00,172.00,0.00,0
06/05/2014 - 12:01,116.00,0.00,62.00,136.00,6.00,173.00,0.00,0
06/05/2014 - 14:02,122.00,0.00,62.00,138.00,6.00,174.00,0.00,0
06/05/2014 - 16:01,128.00,0.00,62.00,142.00,6.00,174.00,0.00,0
06/06/2014 - 10:01,178.00,0.00,62.00,152.00,6.00,178.00,0.00,0
06/06/2014 - 12:02,184.00,0.00,62.00,152.00,6.00,179.00,0.00,0
06/06/2014 - 14:01,192.00,0.00,62.00,152.00,6.00,179.00,0.00,0
06/06/2014 - 16:01,197.00,0.00,62.00,152.00,6.00,180.00,0.00,0
06/09/2014 - 10:02,218.00,0.00,62.00,152.00,7.00,196.00,0.00,0
06/09/2014 - 12:02,218.00,0.00,62.00,152.00,7.00,197.00,0.00,0
06/09/2014 - 14:01,218.00,0.00,62.00,152.00,7.00,197.00,0.00,0
06/09/2014 - 16:01,218.00,0.00,62.00,152.00,7.00,197.00,0.00,0
06/10/2014 - 10:02,226.00,0.00,62.00,154.00,7.00,202.00,0.00,0
06/10/2014 - 12:03,232.00,0.00,62.00,154.00,7.00,203.00,0.00,0
06/10/2014 - 14:01,237.00,0.00,62.00,154.00,7.00,204.00,0.00,0
06/10/2014 - 16:01,242.00,0.00,62.00,154.00,7.00,204.00,0.00,0
06/11/2014 - 10:01,281.00,0.00,62.00,154.00,7.00,209.00,0.00,0
06/11/2014 - 12:02,285.00,0.00,62.00,154.00,7.00,209.00,0.00,0
06/11/2014 - 14:01,288.00,0.00,62.00,157.00,8.00,210.00,0.00,0
06/11/2014 - 16:01,290.00,0.00,62.00,159.00,8.00,210.00,0.00,0
06/12/2014 - 10:02,324.00,0.00,62.00,173.00,8.00,216.00,0.00,0
06/12/2014 - 12:02,330.00,0.00,62.00,173.00,8.00,217.00,0.00,0
06/12/2014 - 14:01,335.00,0.00,62.00,173.00,8.00,218.00,0.00,0
06/12/2014 - 16:01,340.00,0.00,62.00,173.00,8.00,218.00,0.00,0
06/13/2014 - 10:02,377.00,0.00,62.00,175.00,8.00,223.00,0.00,0
06/13/2014 - 12:03,377.00,0.00,62.00,175.00,8.00,223.00,0.00,0
06/13/2014 - 14:02,379.00,0.00,62.00,175.00,8.00,223.00,0.00,0
06/13/2014 - 16:02,381.00,0.00,62.00,175.00,8.00,223.00,0.00,20
06/16/2014 - 10:02,401.00,0.00,62.00,195.00,9.00,227.00,0.00,20
06/16/2014 - 12:02,404.00,0.00,62.00,195.00,9.00,228.00,0.00,20.00
06/16/2014 - 14:03,407.00,0.00,62.00,195.00,9.00,228.00,0.00,20.00
06/16/2014 - 16:03,409.00,0.00,62.00,195.00,9.00,228.00,0.00,20.00
06/17/2014 - 10:03,460.00,42.00,62.00,195.00,9.00,228.00,180.00,20.00
06/17/2014 - 12:03,465.00,42.00,62.00,195.00,9.00,228.00,180.00,20
06/17/2014 - 14:03,468.00,42.00,62.00,195.00,10.00,228.00,220.00,20.00
06/17/2014 - 16:03,473.00,42.00,62.00,195.00,10.00,228.00,220.00,20.00
06/18/2014 - 10:04,488.00,42.00,62.00,195.00,10.00,228.00,220.00,20.00
06/18/2014 - 12:03,488.00,42.00,62.00,195.00,10.00,228.00,220.00,20.00
06/18/2014 - 13:39,488.000,42.000,62.000,195.000,10.000,228.000,220.000,20.000
06/18/2014 - 14:00,488.000,42.000,62.000,195.000,10.000,228.000,220.000,20.000
06/18/2014 - 14:03,488.000,42.000,62.000,195.000,10.000,228.000,220.000,20.000
06/18/2014 - 14:07,488.000,42.000,62.000,195.000,10.000,228.000,220.000,20.000
06/18/2014 - 16:03,488.000,42.000,62.000,195.000,10.000,228.000,220.000,20.000
06/19/2014 - 10:09,488.000,42.000,62.000,195.000,10.000,228.000,220.000,20.000
06/19/2014 - 12:05,488.000,42.000,62.000,195.000,10.000,228.000,220.000,20.000
06/19/2014 - 14:02,488.000,42.000,62.000,195.000,10.000,228.000,220.000,20.000
06/19/2014 - 16:02,488.000,42.000,62.000,195.000,10.000,228.000,220.000,20.000
06/20/2014 - 10:04,488.000,42.000,62.000,195.000,10.000,228.000,220.000,20.000
06/20/2014 - 10:08,488.000,42.000,62.000,195.000,10.000,228.000,220.000,20.000
06/20/2014 - 12:03,488.000,42.000,62.000,195.000,10.000,228.000,220.000,20.000
06/20/2014 - 14:04,488.000,42.000,62.000,195.000,10.000,228.000,220.000,20.000
